Casting No. / Batch No.,Zn,Fe,Si,Cu,In,Mg,Sn,Ti,Cd,Ga,B,Na,Ni,Oth,V,Al(By Diff)
26E0316427,0.0016,0.077,0.064,0.0007,,0.0116,,0.001,,0.011,0.0027,0.0053,0.0022,0.01,0.0095,99.807
26A0250207,0.0019,0.074,0.063,0.0004,,0.0008,,0.0009,,0.0107,0.0029,0.0037,0.0027,0.01,0.0091,99.823
26A0250211,0.0019,0.074,0.063,0.0004,,0.0008,,0.0009,,0.0107,0.0029,0.0037,0.0027,0.01,0.0091,99.823
26A0250212,0.0019,0.074,0.063,0.0004,,0.0008,,0.0009,,0.0107,0.0029,0.0037,0.0027,0.01,0.0091,99.823
26E0316432,0.0016,0.077,0.064,0.0007,,0.0116,,0.001,,0.011,0.0027,0.0053,0.0022,0.01,0.0095,99.807
26E0316433,0.0016,0.077,0.064,0.0007,,0.0116,,0.001,,0.011,0.0027,0.0053,0.0022,0.01,0.0095,99.807
26E0316440,0.0016,0.077,0.064,0.0007,,0.0116,,0.001,,0.011,0.0027,0.0053,0.0022,0.01,0.0095,99.807
26A0266228,0.0016,0.084,0.073,0.0005,,0.0009,,0.0008,,0.0112,0.0029,0.0036,0.003,0.01,0.0082,99.802
26F0236441,0.0017,0.074,0.066,0.0007,,0.0015,,0.0006,,0.0109,0.0026,0.0029,0.0023,0.01,0.0083,99.821
26F0233316,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0233317,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0233318,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0233305,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0233306,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0233307,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26D0262311,0.0022,0.131,0.082,0.0011,,0.0074,,0.0027,,0.0109,0.0019,0.0009,0.0024,0.01,0.0026,99.749
26E0296304,0.0015,0.074,0.067,0.0004,,0.0011,,0.0007,,0.011,0.0027,0.0033,0.0028,0.01,0.0093,99.818
26E0296312,0.0015,0.074,0.067,0.0004,,0.0011,,0.0007,,0.011,0.0027,0.0033,0.0028,0.01,0.0093,99.818
26B0284201,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0284202,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0285107,0.0017,0.069,0.058,0.0008,,0.0025,,0.0006,,0.0109,0.0025,0.0037,0.0022,0.01,0.0086,99.834
26F0236438,0.0017,0.074,0.066,0.0007,,0.0015,,0.0006,,0.0109,0.0026,0.0029,0.0023,0.01,0.0083,99.821
26F0236439,0.0017,0.074,0.066,0.0007,,0.0015,,0.0006,,0.0109,0.0026,0.0029,0.0023,0.01,0.0083,99.821
26F0237310,0.0016,0.073,0.077,0.0005,,0.0097,,0.0013,,0.0114,0.0028,0.0047,0.0027,0.01,0.0088,99.799
26C0260111,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0260112,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26E0298306,0.0017,0.076,0.074,0.0008,,0.0065,,0.0009,,0.0109,0.0025,0.0028,0.0024,0.01,0.0089,99.805
26C0260201,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0260202,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0260209,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26A0242146,0.0015,0.074,0.069,0.0004,,0.0009,,0.0009,,0.0109,0.0026,0.0047,0.0031,0.01,0.0101,99.814
26A0242147,0.0015,0.074,0.069,0.0004,,0.0009,,0.0009,,0.0109,0.0026,0.0047,0.0031,0.01,0.0101,99.814
26A0242148,0.0015,0.074,0.069,0.0004,,0.0009,,0.0009,,0.0109,0.0026,0.0047,0.0031,0.01,0.0101,99.814
26E0296315,0.0015,0.074,0.067,0.0004,,0.0011,,0.0007,,0.011,0.0027,0.0033,0.0028,0.01,0.0093,99.818
26E0296316,0.0015,0.074,0.067,0.0004,,0.0011,,0.0007,,0.011,0.0027,0.0033,0.0028,0.01,0.0093,99.818
26E0297317,0.0019,0.074,0.072,0.0004,,0.0073,,0.0011,,0.011,0.0026,0.0043,0.0026,0.01,0.0084,99.807
26A0243102,0.0019,0.074,0.063,0.0002,,0.0008,,0.0007,,0.0107,0.0025,0.0028,0.0024,0.01,0.0082,99.825
26A0243103,0.0019,0.074,0.063,0.0002,,0.0008,,0.0007,,0.0107,0.0025,0.0028,0.0024,0.01,0.0082,99.825
26A0243104,0.0019,0.074,0.063,0.0002,,0.0008,,0.0007,,0.0107,0.0025,0.0028,0.0024,0.01,0.0082,99.825
26C0260218,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26A0244218,0.0016,0.075,0.075,0.0004,,0.0113,,0.0007,,0.0117,0.002,0.0034,0.0027,0.01,0.0067,99.801
26A0244219,0.0016,0.075,0.075,0.0004,,0.0113,,0.0007,,0.0117,0.002,0.0034,0.0027,0.01,0.0067,99.801
26B0284220,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0284105,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0284106,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26B0284122,0.0016,0.079,0.078,0.0007,,0.0082,,0.0009,,0.0108,0.0023,0.0036,0.0024,0.01,0.0091,99.797
26F0237408,0.0016,0.073,0.077,0.0005,,0.0097,,0.0013,,0.0114,0.0028,0.0047,0.0027,0.01,0.0088,99.799
26F0237409,0.0016,0.073,0.077,0.0005,,0.0097,,0.0013,,0.0114,0.0028,0.0047,0.0027,0.01,0.0088,99.799
26B0285101,0.0017,0.069,0.058,0.0008,,0.0025,,0.0006,,0.0109,0.0025,0.0037,0.0022,0.01,0.0086,99.834
26C0260204,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0260205,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26E0299419,0.0016,0.085,0.084,0.0005,,0.009,,0.001,,0.0113,0.0024,0.0045,0.0028,0.01,0.0077,99.783
26F0233413,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0233414,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26F0233415,0.0016,0.079,0.074,0.0007,,0.0076,,0.0008,,0.0111,0.0019,0.0031,0.003,0.01,0.0071,99.802
26E0296302,0.0015,0.074,0.067,0.0004,,0.0011,,0.0007,,0.011,0.0027,0.0033,0.0028,0.01,0.0093,99.818
26E0296422,0.0015,0.074,0.067,0.0004,,0.0011,,0.0007,,0.011,0.0027,0.0033,0.0028,0.01,0.0093,99.818
26E0296423,0.0015,0.074,0.067,0.0004,,0.0011,,0.0007,,0.011,0.0027,0.0033,0.0028,0.01,0.0093,99.818
26A0242110,0.0015,0.074,0.069,0.0004,,0.0009,,0.0009,,0.0109,0.0026,0.0047,0.0031,0.01,0.0101,99.814
26A0242112,0.0015,0.074,0.069,0.0004,,0.0009,,0.0009,,0.0109,0.0026,0.0047,0.0031,0.01,0.0101,99.814
26C0258240,0.0015,0.069,0.077,0.0004,,0.0015,,0.001,,0.0113,0.0021,0.0038,0.0031,0.01,0.0084,99.813
26A0244110,0.0016,0.075,0.075,0.0004,,0.0113,,0.0007,,0.0117,0.002,0.0034,0.0027,0.01,0.0067,99.801
26A0244111,0.0016,0.075,0.075,0.0004,,0.0113,,0.0007,,0.0117,0.002,0.0034,0.0027,0.01,0.0067,99.801
26A0244112,0.0016,0.075,0.075,0.0004,,0.0113,,0.0007,,0.0117,0.002,0.0034,0.0027,0.01,0.0067,99.801
26B0285212,0.0017,0.069,0.058,0.0008,,0.0025,,0.0006,,0.0109,0.0025,0.0037,0.0022,0.01,0.0086,99.834
26C0260101,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0260102,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26A0245104,0.0015,0.071,0.058,0.0006,,0.0013,,0.0008,,0.0113,0.0028,0.0046,0.0027,0.01,0.0082,99.829
26A0245105,0.0015,0.071,0.058,0.0006,,0.0013,,0.0008,,0.0113,0.0028,0.0046,0.0027,0.01,0.0082,99.829
26E0300310,0.0017,0.082,0.072,0.0004,,0.0012,,0.0012,,0.0117,0.0028,0.0057,0.0029,0.01,0.0084,99.802
26C0260211,0.0015,0.071,0.057,0.0006,,0.0007,,0.0009,,0.0113,0.0021,0.0043,0.0025,0.01,0.008,99.833
26C0280124,0.0018,0.072,0.075,0.0008,,0.0099,,0.001,,0.0108,0.003,0.0039,0.0029,0.01,0.0101,99.801
26E0308310,0.0016,0.086,0.068,0.0006,,0.0063,,0.0015,,0.0109,0.0025,0.0031,0.0023,0.01,0.0077,99.803
26E0308311,0.0016,0.086,0.068,0.0006,,0.0063,,0.0015,,0.0109,0.0025,0.0031,0.0023,0.01,0.0077,99.803
26C0288117,0.0015,0.072,0.069,0.0006,,0.007,,0.0008,,0.0112,0.0026,0.0042,0.0025,0.01,0.0081,99.813
26C0288118,0.0015,0.072,0.069,0.0006,,0.007,,0.0008,,0.0112,0.0026,0.0042,0.0025,0.01,0.0081,99.813
26C0288119,0.0015,0.072,0.069,0.0006,,0.007,,0.0008,,0.0112,0.0026,0.0042,0.0025,0.01,0.0081,99.813
26D0282309,0.002,0.077,0.073,0.0001,,0.0111,,0.001,,0.0116,0.0022,0.0036,0.0027,0.01,0.0078,99.8
26D0285422,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26D0285423,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26D0287406,0.002,0.069,0.069,0.0002,,0.0021,,0.0007,,0.011,0.0027,0.0033,0.0026,0.01,0.0085,99.822
26D0287407,0.002,0.069,0.069,0.0002,,0.0021,,0.0007,,0.011,0.0027,0.0033,0.0026,0.01,0.0085,99.822
26E0330422,0.0016,0.083,0.069,0.0005,,0.0041,,0.001,,0.0109,0.0032,0.0035,0.0029,0.01,0.0082,99.804
26F0260418,0.0016,0.087,0.066,0.0008,,0.0009,,0.0007,,0.011,0.0029,0.0038,0.0026,0.01,0.0075,99.808
26A0280103,0.0018,0.062,0.065,0.0004,,0.0014,,0.001,,0.0108,0.0024,0.0041,0.0035,0.01,0.0103,99.83
26A0280104,0.0018,0.062,0.065,0.0004,,0.0014,,0.001,,0.0108,0.0024,0.0041,0.0035,0.01,0.0103,99.83
26A0278137,0.0016,0.072,0.073,0.0006,,0.0041,,0.0008,,0.011,0.0031,0.0046,0.0024,0.01,0.0081,99.811
26A0278138,0.0016,0.072,0.073,0.0006,,0.0041,,0.0008,,0.011,0.0031,0.0046,0.0024,0.01,0.0081,99.811
26A0278139,0.0016,0.072,0.073,0.0006,,0.0041,,0.0008,,0.011,0.0031,0.0046,0.0024,0.01,0.0081,99.811
26A0279111,0.0019,0.067,0.063,0.0008,,0.0045,,0.0012,,0.0108,0.0034,0.0073,0.0022,0.01,0.0105,99.82
26A0279112,0.0019,0.067,0.063,0.0008,,0.0045,,0.0012,,0.0108,0.0034,0.0073,0.0022,0.01,0.0105,99.82
26C0265106,0.0015,0.071,0.067,0.0007,,0.0013,,0.0009,,0.0106,0.0028,0.0028,0.0024,0.01,0.0089,99.824
26E0331317,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26E0331318,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26A0276101,0.0017,0.078,0.073,0.0007,,0.0111,,0.0007,,0.0106,0.0016,0.0045,0.0024,0.01,0.0066,99.802
26D0285413,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26D0285414,0.0018,0.064,0.062,0.0004,,0.0047,,0.0008,,0.011,0.0019,0.0033,0.0035,0.01,0.0082,99.83
26A0279102,0.0019,0.067,0.063,0.0008,,0.0045,,0.0012,,0.0108,0.0034,0.0073,0.0022,0.01,0.0105,99.82
26B0321218,0.0017,0.074,0.078,0.0005,,0.0077,,0.0008,,0.0109,0.0021,0.0039,0.0031,0.01,0.0074,99.801
26C0287138,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26C0287139,0.0016,0.069,0.072,0.0005,,0.0036,,0.0011,,0.0112,0.0026,0.0045,0.0025,0.01,0.0084,99.815
26E0329317,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0330310,0.0016,0.083,0.069,0.0005,,0.0041,,0.001,,0.0109,0.0032,0.0035,0.0029,0.01,0.0082,99.804
26E0306402,0.0015,0.077,0.058,0.0004,,0.007,,0.0019,,0.0115,0.0025,0.0057,0.0025,0.01,0.0089,99.815
26F0255310,0.0016,0.097,0.08,0.0006,,0.0017,,0.0007,,0.0108,0.0025,0.0042,0.0024,0.01,0.0084,99.783
26A0262211,0.0016,0.066,0.058,0.0005,,0.0015,,0.0006,,0.0111,0.003,0.0033,0.0026,0.01,0.0081,99.836
26A0262212,0.0016,0.066,0.058,0.0005,,0.0015,,0.0006,,0.0111,0.003,0.0033,0.0026,0.01,0.0081,99.836
26B0307110,0.0016,0.082,0.074,0.0006,,0.0076,,0.0008,,0.0107,0.0026,0.0041,0.0024,0.01,0.0085,99.798
26B0303105,0.0017,0.072,0.063,0.0004,,0.0012,,0.0013,,0.011,0.0029,0.0041,0.0036,0.01,0.0095,99.822
26B0303106,0.0017,0.072,0.063,0.0004,,0.0012,,0.0013,,0.011,0.0029,0.0041,0.0036,0.01,0.0095,99.822
26B0304106,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26B0312202,0.0017,0.082,0.074,0.0005,,0.0117,,0.001,,0.0108,0.0028,0.005,0.0023,0.01,0.0097,99.791
26B0312203,0.0017,0.082,0.074,0.0005,,0.0117,,0.001,,0.0108,0.0028,0.005,0.0023,0.01,0.0097,99.791
26B0312204,0.0017,0.082,0.074,0.0005,,0.0117,,0.001,,0.0108,0.0028,0.005,0.0023,0.01,0.0097,99.791
26B0306210,0.0017,0.076,0.071,0.0006,,0.0098,,0.0011,,0.0112,0.0029,0.0039,0.0032,0.01,0.0104,99.8
26B0306211,0.0017,0.076,0.071,0.0006,,0.0098,,0.0011,,0.0112,0.0029,0.0039,0.0032,0.01,0.0104,99.8
26B0306212,0.0017,0.076,0.071,0.0006,,0.0098,,0.0011,,0.0112,0.0029,0.0039,0.0032,0.01,0.0104,99.8
26E0318313,0.0016,0.069,0.068,0.0004,,0.0106,,0.0009,,0.0111,0.0029,0.0042,0.0024,0.01,0.0083,99.814
26E0319428,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26E0319429,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26A0266207,0.0016,0.084,0.073,0.0005,,0.0009,,0.0008,,0.0112,0.0029,0.0036,0.003,0.01,0.0082,99.802
26B0311201,0.0016,0.084,0.076,0.0008,,0.0143,,0.0012,,0.0108,0.0027,0.005,0.0024,0.01,0.0085,99.786
26B0311202,0.0016,0.084,0.076,0.0008,,0.0143,,0.0012,,0.0108,0.0027,0.005,0.0024,0.01,0.0085,99.786
26B0304101,0.0017,0.07,0.063,0.0006,,0.002,,0.0008,,0.0109,0.0028,0.0058,0.0021,0.01,0.0091,99.824
26B0306117,0.0017,0.076,0.071,0.0006,,0.0098,,0.0011,,0.0112,0.0029,0.0039,0.0032,0.01,0.0104,99.8
26B0306118,0.0017,0.076,0.071,0.0006,,0.0098,,0.0011,,0.0112,0.0029,0.0039,0.0032,0.01,0.0104,99.8
26E0310440,0.0015,0.071,0.066,0.0004,,0.0008,,0.0006,,0.011,0.0027,0.0033,0.003,0.01,0.0076,99.825
26E0310441,0.0015,0.071,0.066,0.0004,,0.0008,,0.0006,,0.011,0.0027,0.0033,0.003,0.01,0.0076,99.825
26E0310442,0.0015,0.071,0.066,0.0004,,0.0008,,0.0006,,0.011,0.0027,0.0033,0.003,0.01,0.0076,99.825
26D0275405,0.0016,0.096,0.071,0.0038,,0.0031,,0.0008,,0.0108,0.0028,0.0058,0.0025,0.01,0.0088,99.785
26D0275406,0.0016,0.096,0.071,0.0038,,0.0031,,0.0008,,0.0108,0.0028,0.0058,0.0025,0.01,0.0088,99.785
26D0276306,0.0019,0.078,0.064,0.0002,,0.0091,,0.0009,,0.0106,0.0023,0.0034,0.0024,0.01,0.0076,99.813
26B0311120,0.0016,0.084,0.076,0.0008,,0.0143,,0.0012,,0.0108,0.0027,0.005,0.0024,0.01,0.0085,99.786
26D0272422,0.0018,0.071,0.06,0.0002,,0.0011,,0.0007,,0.0099,0.0024,0.0038,0.0024,0.01,0.0088,99.832
26D0272423,0.0018,0.071,0.06,0.0002,,0.0011,,0.0007,,0.0099,0.0024,0.0038,0.0024,0.01,0.0088,99.832
26E0323306,0.0016,0.086,0.076,0.0005,,0.0075,,0.0015,,0.0114,0.0034,0.0044,0.0027,0.01,0.0088,99.788
26E0323307,0.0016,0.086,0.076,0.0005,,0.0075,,0.0015,,0.0114,0.0034,0.0044,0.0027,0.01,0.0088,99.788
26A0269109,0.0015,0.073,0.067,0.0007,,0.0079,,0.0008,,0.0109,0.0029,0.0052,0.0025,0.01,0.0084,99.811
26B0305208,0.0016,0.081,0.072,0.002,,0.0013,,0.0007,,0.0111,0.0031,0.0033,0.0026,0.01,0.008,99.805
26B0305209,0.0016,0.081,0.072,0.002,,0.0013,,0.0007,,0.0111,0.0031,0.0033,0.0026,0.01,0.008,99.805
26A0261205,0.0017,0.078,0.089,0.0007,,0.012,,0.0009,,0.0107,0.0029,0.0054,0.0025,0.01,0.0093,99.78
26B0307211,0.0016,0.082,0.074,0.0006,,0.0076,,0.0008,,0.0107,0.0026,0.0041,0.0024,0.01,0.0085,99.798
26B0307212,0.0016,0.082,0.074,0.0006,,0.0076,,0.0008,,0.0107,0.0026,0.0041,0.0024,0.01,0.0085,99.798
26B0309219,0.0017,0.071,0.066,0.0007,,0.0087,,0.0009,,0.0109,0.0029,0.0065,0.0022,0.01,0.0096,99.812
26B0309220,0.0017,0.071,0.066,0.0007,,0.0087,,0.0009,,0.0109,0.0029,0.0065,0.0022,0.01,0.0096,99.812
26B0310105,0.0019,0.072,0.071,0.0002,,0.0012,,0.0009,,0.0104,0.0029,0.0037,0.0024,0.01,0.009,99.817
26D0278307,0.0019,0.07,0.056,0.0002,,0.0015,,0.0014,,0.011,0.0028,0.0047,0.0026,0.01,0.0102,99.83
26D0278309,0.0019,0.07,0.056,0.0002,,0.0015,,0.0014,,0.011,0.0028,0.0047,0.0026,0.01,0.0102,99.83
26D0278310,0.0019,0.07,0.056,0.0002,,0.0015,,0.0014,,0.011,0.0028,0.0047,0.0026,0.01,0.0102,99.83
26E0320307,0.0017,0.097,0.075,0.0008,,0.0101,,0.001,,0.0109,0.003,0.006,0.0025,0.01,0.0095,99.774
26E0320308,0.0017,0.097,0.075,0.0008,,0.0101,,0.001,,0.0109,0.003,0.006,0.0025,0.01,0.0095,99.774
26E0320309,0.0017,0.097,0.075,0.0008,,0.0101,,0.001,,0.0109,0.003,0.006,0.0025,0.01,0.0095,99.774
26B0307115,0.0016,0.082,0.074,0.0006,,0.0076,,0.0008,,0.0107,0.0026,0.0041,0.0024,0.01,0.0085,99.798
26D0268337,0.0017,0.092,0.09,0.0022,,0.0096,,0.001,,0.0108,0.0028,0.0039,0.0024,0.01,0.0092,99.766
26D0268338,0.0017,0.092,0.09,0.0022,,0.0096,,0.001,,0.0108,0.0028,0.0039,0.0024,0.01,0.0092,99.766
26D0276402,0.0019,0.078,0.064,0.0002,,0.0091,,0.0009,,0.0106,0.0023,0.0034,0.0024,0.01,0.0076,99.813
26D0276403,0.0019,0.078,0.064,0.0002,,0.0091,,0.0009,,0.0106,0.0023,0.0034,0.0024,0.01,0.0076,99.813
26D0276419,0.0019,0.078,0.064,0.0002,,0.0091,,0.0009,,0.0106,0.0023,0.0034,0.0024,0.01,0.0076,99.813
26E0324408,0.0016,0.07,0.066,0.0004,,0.0011,,0.0008,,0.0111,0.0035,0.0055,0.0026,0.01,0.0092,99.821
26E0324409,0.0016,0.07,0.066,0.0004,,0.0011,,0.0008,,0.0111,0.0035,0.0055,0.0026,0.01,0.0092,99.821
26E0324413,0.0016,0.07,0.066,0.0004,,0.0011,,0.0008,,0.0111,0.0035,0.0055,0.0026,0.01,0.0092,99.821
26D0277312,0.0016,0.084,0.073,0.0004,,0.01,,0.0011,,0.0111,0.0026,0.0043,0.0025,0.01,0.0074,99.795
26E0319431,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26B0307119,0.0016,0.082,0.074,0.0006,,0.0076,,0.0008,,0.0107,0.0026,0.0041,0.0024,0.01,0.0085,99.798
26B0315211,0.0016,0.077,0.067,0.0006,,0.0054,,0.0012,,0.0108,0.003,0.0056,0.0023,0.01,0.0084,99.81
26B0315212,0.0016,0.077,0.067,0.0006,,0.0054,,0.0012,,0.0108,0.003,0.0056,0.0023,0.01,0.0084,99.81
26E0322412,0.0017,0.076,0.065,0.0007,,0.0062,,0.001,,0.0108,0.0034,0.0066,0.0025,0.01,0.0102,99.809
26E0330311,0.0016,0.083,0.069,0.0005,,0.0041,,0.001,,0.0109,0.0032,0.0035,0.0029,0.01,0.0082,99.804
26E0331301,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26E0331302,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26E0331303,0.0019,0.067,0.069,0.0007,,0.0042,,0.001,,0.0106,0.0026,0.0063,0.0022,0.01,0.009,99.818
26B0322104,0.0018,0.083,0.078,0.0005,,0.0133,,0.0011,,0.0107,0.0024,0.0038,0.0031,0.01,0.0083,99.784
26B0322105,0.0018,0.083,0.078,0.0005,,0.0133,,0.0011,,0.0107,0.0024,0.0038,0.0031,0.01,0.0083,99.784
26B0322106,0.0018,0.083,0.078,0.0005,,0.0133,,0.0011,,0.0107,0.0024,0.0038,0.0031,0.01,0.0083,99.784
26D0274302,0.0019,0.1,0.071,0.004,,0.0016,,0.0008,,0.0112,0.0027,0.0035,0.003,0.01,0.0087,99.786
26D0274303,0.0019,0.1,0.071,0.004,,0.0016,,0.0008,,0.0112,0.0027,0.0035,0.003,0.01,0.0087,99.786
26D0274304,0.0019,0.1,0.071,0.004,,0.0016,,0.0008,,0.0112,0.0027,0.0035,0.003,0.01,0.0087,99.786
26E0329415,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329416,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26A0277104,0.0016,0.074,0.076,0.0005,,0.0068,,0.0008,,0.0111,0.0023,0.0038,0.0026,0.01,0.0066,99.806
26E0329313,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26E0329314,0.0018,0.075,0.071,0.0007,,0.0111,,0.0008,,0.0106,0.0018,0.0047,0.0023,0.01,0.007,99.806
26A0269220,0.0015,0.073,0.067,0.0007,,0.0079,,0.0008,,0.0109,0.0029,0.0052,0.0025,0.01,0.0084,99.811
26A0262207,0.0016,0.066,0.058,0.0005,,0.0015,,0.0006,,0.0111,0.003,0.0033,0.0026,0.01,0.0081,99.836
26A0262208,0.0016,0.066,0.058,0.0005,,0.0015,,0.0006,,0.0111,0.003,0.0033,0.0026,0.01,0.0081,99.836
26A0262209,0.0016,0.066,0.058,0.0005,,0.0015,,0.0006,,0.0111,0.003,0.0033,0.0026,0.01,0.0081,99.836
26D0278315,0.0019,0.07,0.056,0.0002,,0.0015,,0.0014,,0.011,0.0028,0.0047,0.0026,0.01,0.0102,99.83
26D0278316,0.0019,0.07,0.056,0.0002,,0.0015,,0.0014,,0.011,0.0028,0.0047,0.0026,0.01,0.0102,99.83
26E0320313,0.0017,0.097,0.075,0.0008,,0.0101,,0.001,,0.0109,0.003,0.006,0.0025,0.01,0.0095,99.774
26E0319419,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26E0319420,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26E0319421,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26E0319438,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26D0274420,0.0019,0.1,0.071,0.004,,0.0016,,0.0008,,0.0112,0.0027,0.0035,0.003,0.01,0.0087,99.786
26E0319439,0.0016,0.089,0.08,0.0006,,0.0122,,0.0011,,0.0107,0.0028,0.0045,0.0022,0.01,0.0092,99.779
26E0318321,0.0016,0.069,0.068,0.0004,,0.0106,,0.0009,,0.0111,0.0029,0.0042,0.0024,0.01,0.0083,99.814
26E0318322,0.0016,0.069,0.068,0.0004,,0.0106,,0.0009,,0.0111,0.0029,0.0042,0.0024,0.01,0.0083,99.814
26E0318422,0.0016,0.069,0.068,0.0004,,0.0106,,0.0009,,0.0111,0.0029,0.0042,0.0024,0.01,0.0083,99.814
26A0243117,0.0019,0.074,0.063,0.0002,,0.0008,,0.0007,,0.0107,0.0025,0.0028,0.0024,0.01,0.0082,99.825
26F0234315,0.0016,0.081,0.076,0.0005,,0.0021,,0.0006,,0.0114,0.0018,0.0034,0.0026,0.01,0.0058,99.806
26F0234316,0.0016,0.081,0.076,0.0005,,0.0021,,0.0006,,0.0114,0.0018,0.0034,0.0026,0.01,0.0058,99.806
